rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,avg,sleeper_id
1,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,6,RB,1,1.0,9221
2,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,2,2.0,9509
3,Ja'Marr Chase,19788,jamarr-chase,CIN,6,WR,1,3.0,7564
4,Puka Nacua,23180,puka-nacua,LAR,11,WR,2,4.0,9493
5,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,11,WR,3,5.0,9488
6,Jonathan Taylor,19217,jonathan-taylor,IND,13,RB,3,6.0,6813
7,Christian McCaffrey,16393,christian-mccaffrey,SF,8,RB,4,7.0,4034
8,Amon-Ra St. Brown,19799,amonra-stbrown,DET,6,WR,4,8.0,7547
9,CeeDee Lamb,19202,ceedee-lamb,DAL,14,WR,5,9.0,6786
10,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,6,10.0,6794
11,Ashton Jeanty,25989,ashton-jeanty,LV,13,RB,5,11.0,12527
12,James Cook III,22958,james-cook,BUF,7,RB,6,12.0,8138
13,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,7,13.0,4866
14,De'Von Achane,23136,devon-achane,MIA,6,RB,8,14.0,9226
15,Omarion Hampton,25395,omarion-hampton,LAC,7,RB,9,15.0,12507
16,Kenneth Walker III,23021,kenneth-walker-rb,KC,5,RB,10,16.0,8151
17,Chase Brown,25324,chase-brown,CIN,6,RB,11,17.0,9224
18,Derrick Henry,15514,derrick-henry,BAL,13,RB,12,18.0,3198
19,Drake London,23163,drake-london,ATL,11,WR,7,19.0,8112
20,Brock Bowers,22955,brock-bowers,LV,13,TE,1,20.0,11604
21,A.J. Brown,18218,aj-brown,NE,11,WR,8,21.0,5859
22,Nico Collins,20130,nico-collins,HOU,8,WR,9,22.0,7569
23,George Pickens,22963,george-pickens,DAL,14,WR,10,23.0,8137
24,Jeremiyah Love,25403,jeremiyah-love,ARI,14,RB,13,24.0,13287
25,Trey McBride,22936,trey-mcbride,ARI,14,TE,2,25.0,8130
26,Breece Hall,22982,breece-hall,NYJ,13,RB,14,26.0,8155
27,DeVonta Smith,19222,devonta-smith,PHI,10,WR,11,27.0,7525
28,Chris Olave,20111,chris-olave,NO,8,WR,12,28.0,8144
29,Rashee Rice,23113,rashee-rice,KC,5,WR,13,29.0,10229
30,Travis Etienne Jr.,19231,travis-etienne,NO,8,RB,15,30.0,7543
31,Malik Nabers,25409,malik-nabers,NYG,8,WR,14,31.0,11632
32,Kyren Williams,23059,kyren-williams,LAR,11,RB,16,32.0,8150
33,Zay Flowers,22916,zay-flowers,BAL,13,WR,15,33.0,9997
34,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,34.0,4984
35,Tee Higgins,19211,tee-higgins,CIN,6,WR,16,35.0,6801
36,Javonte Williams,22739,javonte-williams,DAL,14,RB,17,36.0,7588
37,Ladd McConkey,26122,ladd-mcconkey,LAC,7,WR,17,37.0,11635
38,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,5,WR,18,38.0,12526
39,Josh Jacobs,18269,josh-jacobs,GB,11,RB,18,39.0,5850
40,Garrett Wilson,23072,garrett-wilson,NYJ,13,WR,19,40.0,8146
41,Emeka Egbuka,23062,emeka-egbuka,TB,10,WR,20,41.0,12514
42,Luther Burden III,27016,luther-burden-iii,CHI,10,WR,21,42.0,12519
43,Cam Skattebo,27166,cam-skattebo,NYG,8,RB,19,43.0,12481
44,Mike Evans,12119,mike-evans,SF,8,WR,22,44.0,2216
45,Terry McLaurin,18466,terry-mclaurin,WAS,7,WR,23,45.0,5927
46,Colston Loveland,26006,colston-loveland,CHI,10,TE,3,46.0,12517
47,Jaylen Waddle,19790,jaylen-waddle,DEN,10,WR,24,47.0,7526
48,Jameson Williams,23677,jameson-williams,DET,6,WR,25,48.0,8148
49,David Montgomery,18239,david-montgomery,HOU,8,RB,20,49.0,5892
50,TreVeyon Henderson,23065,treveyon-henderson,NE,11,RB,21,50.0,12529
51,Davante Adams,12123,davante-adams,LAR,11,WR,26,51.0,2133
52,D'Andre Swift,19210,dandre-swift,CHI,10,RB,22,52.0,6790
53,Bucky Irving,25981,bucky-irving,TB,10,RB,23,53.0,11584
54,Quinshon Judkins,25391,quinshon-judkins,CLE,11,RB,24,54.0,12512
55,Bhayshul Tuten,27297,bhayshul-tuten,JAC,7,RB,25,55.0,12490
56,DJ Moore,17265,dj-moore-wr,BUF,7,WR,27,56.0,4983
57,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,2,57.0,4881
58,Christian Watson,23886,christian-watson,GB,11,WR,28,58.0,8167
59,Rome Odunze,25411,rome-odunze,CHI,10,WR,29,59.0,11620
60,Carnell Tate,26009,carnell-tate,TEN,9,WR,30,60.0,13279
61,Jadarian Price,27329,jadarian-price,SEA,11,RB,26,61.0,13286
62,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,7,WR,31,62.0,11631
63,Jordyn Tyson,26035,jordyn-tyson,NO,8,WR,32,63.0,13281
64,Joe Burrow,19196,joe-burrow,CIN,6,QB,3,64.0,6770
65,Tyler Warren,26434,tyler-warren,IND,13,TE,4,65.0,12518
66,Jayden Daniels,22902,jayden-daniels,WAS,7,QB,4,66.0,11566
67,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,14,WR,33,67.0,11628
68,Drake Maye,23046,drake-maye,NE,11,QB,5,68.0,11564
69,Parker Washington,23106,parker-washington,JAC,7,WR,34,69.0,9487
70,Caleb Williams,23084,caleb-williams,CHI,10,QB,6,70.0,11560
71,Chuba Hubbard,19792,chuba-hubbard,CAR,5,RB,27,71.0,7594
72,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,7,72.0,6904
73,Makai Lemon,25420,makai-lemon,PHI,10,WR,35,73.0,13294
74,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,28,74.0,7611
75,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,29,75.0,8228
76,Alec Pierce,23791,alec-pierce,IND,13,WR,36,76.0,8142
77,DK Metcalf,18219,dk-metcalf,PIT,9,WR,37,77.0,5846
78,Tony Pollard,18705,tony-pollard,TEN,9,RB,30,78.0,5967
79,Dak Prescott,15600,dak-prescott,DAL,14,QB,8,79.0,3294
80,Courtland Sutton,17253,courtland-sutton,DEN,10,WR,38,80.0,5045
81,Justin Herbert,18635,justin-herbert,LAC,7,QB,9,81.0,6797
82,Tucker Kraft,25298,tucker-kraft,GB,11,TE,5,82.0,9484
83,Jayden Reed,23020,jayden-reed,GB,11,WR,39,83.0,10222
84,Quentin Johnston,23123,quentin-johnston,LAC,7,WR,40,84.0,9754
85,Trevor Lawrence,19780,trevor-lawrence,JAC,7,QB,10,85.0,7523
86,RJ Harvey,27142,rj-harvey,DEN,10,RB,31,86.0,12489
87,Jordan Addison,23107,jordan-addison,MIN,6,WR,41,87.0,9756
88,Rico Dowdle,19647,rico-dowdle,PIT,9,RB,32,88.0,7021
89,Patrick Mahomes II,16413,patrick-mahomes,KC,5,QB,11,89.0,4046
90,Chris Godwin Jr.,16406,chris-godwin,TB,10,WR,42,90.0,4037
91,Kyle Monangai,27131,kyle-monangai,CHI,10,RB,33,91.0,12534
92,Michael Wilson,25333,michael-wilson,ARI,14,WR,43,92.0,10232
93,Blake Corum,23013,blake-corum,LAR,11,RB,34,93.0,11586
94,Josh Downs,24706,josh-downs,IND,13,WR,44,94.0,9500
95,Jaxson Dart,23160,jaxson-dart,NYG,8,QB,12,95.0,12508
96,Brock Purdy,19797,brock-purdy,SF,8,QB,13,96.0,8183
97,Sam LaPorta,22978,sam-laporta,DET,6,TE,6,97.0,10859
98,Xavier Worthy,23019,xavier-worthy,KC,5,WR,45,98.0,11624
99,Harold Fannin Jr.,27050,harold-fannin-jr,CLE,11,TE,7,99.0,12506
100,Jakobi Meyers,18598,jakobi-meyers,JAC,7,WR,46,100.0,5947
101,J.K. Dobbins,19245,jk-dobbins,DEN,10,RB,35,101.0,6806
102,Ricky Pearsall,26214,ricky-pearsall,SF,8,WR,47,102.0,11638
103,Matthew Stafford,9451,matthew-stafford,LAR,11,QB,14,103.0,421
104,Michael Pittman Jr.,19278,michael-pittman,PIT,9,WR,48,104.0,6819
105,Kenneth Gainwell,23310,kenneth-gainwell,TB,10,RB,36,105.0,7567
106,Bo Nix,22910,bo-nix,DEN,10,QB,15,106.0,11563
107,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,8,107.0,7553
108,Jonathon Brooks,26148,jonathon-brooks,CAR,5,RB,37,108.0,11583
109,Jared Goff,15501,jared-goff,DET,6,QB,16,109.0,3163
110,Kyler Murray,18600,kyler-murray,MIN,6,QB,17,110.0,5849
111,Matthew Golden,26024,matthew-golden,GB,11,WR,49,111.0,12501
112,Jordan Love,19246,jordan-love,GB,11,QB,18,112.0,6804
113,Rachaad White,23891,rachaad-white,WAS,7,RB,38,113.0,8136
114,George Kittle,16499,george-kittle,SF,8,TE,9,114.0,4217
115,Romeo Doubs,23794,romeo-doubs,NE,11,WR,50,115.0,8121
116,KC Concepcion,27331,kevin-concepcion,CLE,11,WR,51,116.0,13298
117,Wan'Dale Robinson,22985,wandale-robinson,TEN,9,WR,52,117.0,8126
118,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,39,118.0,4199
119,Baker Mayfield,17237,baker-mayfield,TB,10,QB,19,119.0,4892
120,Tyler Shough,23096,tyler-shough,NO,8,QB,20,120.0,12545
121,Travis Kelce,11594,travis-kelce,KC,5,TE,10,121.0,1466
122,Jacory Croskey-Merritt,27316,jacory-croskeymerritt,WAS,7,RB,40,122.0,12533
123,Jayden Higgins,27077,jayden-higgins,HOU,8,WR,53,123.0,12484
124,Chris Rodriguez Jr.,22986,chris-rodriguez-jr,JAC,7,RB,41,124.0,10219
125,Jordan Mason,22969,jordan-mason,MIN,6,RB,42,125.0,8408
126,Jake Ferguson,22718,jake-ferguson,DAL,14,TE,11,126.0,8110
127,Mark Andrews,17269,mark-andrews,BAL,13,TE,12,127.0,5012
128,Khalil Shakir,23748,khalil-shakir,BUF,7,WR,54,128.0,8134
129,Dalton Kincaid,25247,dalton-kincaid,BUF,7,TE,13,129.0,10236
130,Malik Willis,23499,malik-willis,MIA,6,QB,21,130.0,8161
131,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,8,RB,43,131.0,11655
132,Isaiah Likely,23781,isaiah-likely,NYG,8,TE,14,132.0,8131
133,Jalen Coker,26403,jalen-coker,CAR,5,WR,55,133.0,11646
134,Stefon Diggs,13981,stefon-diggs,,,WR,56,134.0,2449
135,Keaton Mitchell,25360,keaton-mitchell,LAC,7,RB,44,135.0,9511
136,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,15,136.0,5022
137,Cam Ward,24755,cam-ward,TEN,9,QB,22,138.0,12522
138,Rashid Shaheed,24687,rashid-shaheed,SEA,11,WR,57,139.0,8676
139,Omar Cooper Jr.,28127,omar-cooper-jr,NYJ,13,WR,58,140.0,13276
140,Sam Darnold,17236,sam-darnold,SEA,11,QB,23,141.0,4943
141,C.J. Stroud,23071,cj-stroud,HOU,8,QB,24,142.0,9758
142,Woody Marks,27520,woody-marks,HOU,8,RB,45,143.0,12474
143,Oronde Gadsden II,25997,oronde-gadsden-ii,LAC,7,TE,16,144.0,12493
144,Daniel Jones,18232,daniel-jones,IND,13,QB,25,145.0,5870
