rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,real_time,avg,sleeper_id
1,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,6,RB,1,2,1,1,1.5,9221
2,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,2,1,2,2,1.5,9509
3,Ja'Marr Chase,19788,jamarr-chase,CIN,6,WR,1,6,3,3,4.5,7564
4,Christian McCaffrey,16393,christian-mccaffrey,SF,8,RB,3,4,5,6,4.5,4034
5,Jonathan Taylor,19217,jonathan-taylor,IND,13,RB,4,3,7,4,5,6813
6,Puka Nacua,23180,puka-nacua,LAR,11,WR,2,9,4,5,6.5,9493
7,James Cook III,22958,james-cook,BUF,7,RB,5,5,8,7,6.5,8138
8,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,11,WR,3,10,6,9,8,9488
9,De'Von Achane,23136,devon-achane,MIA,6,RB,6,8,10,15,9,9226
10,Omarion Hampton,25395,omarion-hampton,LAC,7,RB,7,12,13,17,12.5,12507
11,Derrick Henry,15514,derrick-henry,BAL,13,RB,8,7,19,13,13,3198
12,Amon-Ra St. Brown,19799,amonra-stbrown,DET,6,WR,4,18,9,8,13.5,7547
13,Ashton Jeanty,25989,ashton-jeanty,LV,13,RB,9,11,17,19,14,12527
14,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,10,14,15,10,14.5,4866
15,CeeDee Lamb,19202,ceedee-lamb,DAL,14,WR,5,15,14,11,14.5,6786
16,Chase Brown,25324,chase-brown,CIN,6,RB,11,19,11,16,15,9224
17,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,6,20,12,12,16,6794
18,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,16,22,23,19,4984
19,Kenneth Walker III,23021,kenneth-walker-rb,KC,5,RB,12,24,16,14,20,8151
20,Drake London,23163,drake-london,ATL,11,WR,7,21,20,21,20.5,8112
21,Kyren Williams,23059,kyren-williams,LAR,11,RB,13,13,30,24,21.5,8150
22,Jeremiyah Love,25403,jeremiyah-love,ARI,14,RB,14,17,28,26,22.5,13287
23,Trey McBride,22936,trey-mcbride,ARI,14,TE,1,23,27,32,25,8130
24,A.J. Brown,18218,aj-brown,NE,11,WR,8,34,18,20,26,5859
25,Chris Olave,20111,chris-olave,NO,8,WR,9,31,21,29,26,8144
26,Nico Collins,20130,nico-collins,HOU,8,WR,10,26,26,18,26,7569
27,Brock Bowers,22955,brock-bowers,LV,13,TE,2,29,24,22,26.5,11604
28,George Pickens,22963,george-pickens,DAL,14,WR,11,28,25,25,26.5,8137
29,Javonte Williams,22739,javonte-williams,DAL,14,RB,15,32,23,28,27.5,7588
30,Breece Hall,22982,breece-hall,NYJ,13,RB,16,27,31,31,29,8155
31,Malik Nabers,25409,malik-nabers,NYG,8,WR,12,30,29,27,29.5,11632
32,Travis Etienne Jr.,19231,travis-etienne,NO,8,RB,17,36,32,35,34,7543
33,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,2,25,45,43,35,4881
34,Bucky Irving,25981,bucky-irving,TB,10,RB,18,33,38,44,35.5,11584
35,Rashee Rice,23113,rashee-rice,KC,5,WR,13,35,36,37,35.5,10229
36,Garrett Wilson,23072,garrett-wilson,NYJ,13,WR,14,39,39,42,39,8146
37,Quinshon Judkins,25391,quinshon-judkins,CLE,11,RB,19,45,37,49,41,12512
38,Cam Skattebo,27166,cam-skattebo,NYG,8,RB,20,42,41,45,41.5,12481
39,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,5,WR,15,38,46,40,42,12526
40,Luther Burden III,27016,luther-burden-iii,CHI,10,WR,16,41,44,55,42.5,12519
41,Zay Flowers,22916,zay-flowers,BAL,13,WR,17,52,35,33,43.5,9997
42,DeVonta Smith,19222,devonta-smith,PHI,10,WR,18,55,34,30,44.5,7525
43,Tee Higgins,19211,tee-higgins,CIN,6,WR,19,37,52,34,44.5,6801
44,D'Andre Swift,19210,dandre-swift,CHI,10,RB,21,49,40,38,44.5,6790
45,Ladd McConkey,26122,ladd-mcconkey,LAC,7,WR,20,48,42,41,45,11635
46,Colston Loveland,26006,colston-loveland,CHI,10,TE,3,47,43,39,45,12517
47,Jaylen Waddle,19790,jaylen-waddle,DEN,10,WR,21,43,50,36,46.5,7526
48,DJ Moore,17265,dj-moore-wr,BUF,7,WR,22,62,33,48,47.5,4983
49,Bhayshul Tuten,27297,bhayshul-tuten,JAC,7,RB,22,44,51,56,47.5,12490
50,David Montgomery,18239,david-montgomery,HOU,8,RB,23,50,47,47,48.5,5892
51,TreVeyon Henderson,23065,treveyon-henderson,NE,11,RB,24,40,58,66,49,12529
52,Emeka Egbuka,23062,emeka-egbuka,TB,10,WR,23,57,48,46,52.5,12514
53,Davante Adams,12123,davante-adams,LAR,11,WR,24,46,60,58,53,2133
54,Drake Maye,23046,drake-maye,NE,11,QB,3,51,56,54,53.5,11564
55,Joe Burrow,19196,joe-burrow,CIN,6,QB,4,56,53,53,54.5,6770
56,Jameson Williams,23677,jameson-williams,DET,6,WR,25,54,55,52,54.5,8148
57,Tyler Warren,26434,tyler-warren,IND,13,TE,4,60,54,50,57,12518
58,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,25,53,65,67,59,8228
59,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,26,61,57,61,59,7611
60,Terry McLaurin,18466,terry-mclaurin,WAS,7,WR,26,58,62,59,60,5927
61,Josh Jacobs,18269,josh-jacobs,GB,11,RB,27,22,101,107,61.5,5850
62,RJ Harvey,27142,rj-harvey,DEN,10,RB,28,59,68,94,63.5,12489
63,Rico Dowdle,19647,rico-dowdle,PIT,9,RB,29,70,63,79,66.5,7021
64,Christian Watson,23886,christian-watson,GB,11,WR,27,69,64,60,66.5,8167
65,Harold Fannin Jr.,27050,harold-fannin-jr,CLE,11,TE,5,67,66,76,66.5,12506
66,Rome Odunze,25411,rome-odunze,CHI,10,WR,28,73,61,62,67,11620
67,Jadarian Price,27329,jadarian-price,SEA,11,RB,30,86,49,51,67.5,13286
68,Mike Evans,12119,mike-evans,SF,8,WR,29,63,75,68,69,2216
69,Tony Pollard,18705,tony-pollard,TEN,9,RB,31,68,71,74,69.5,5967
70,Parker Washington,23106,parker-washington,JAC,7,WR,30,81,59,65,70,9487
71,Jayden Daniels,22902,jayden-daniels,WAS,7,QB,5,71,69,64,70,11566
72,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,6,76,70,57,73,6904
73,Tucker Kraft,25298,tucker-kraft,GB,11,TE,6,77,74,63,75.5,9484
74,Carnell Tate,26009,carnell-tate,TEN,9,WR,31,64,89,83,76.5,13279
75,Michael Wilson,25333,michael-wilson,ARI,14,WR,32,82,72,95,77,10232
76,Courtland Sutton,17253,courtland-sutton,DEN,10,WR,33,78,80,93,79,5045
77,Chuba Hubbard,19792,chuba-hubbard,CAR,5,RB,32,72,90,87,81,7594
78,Blake Corum,23013,blake-corum,LAR,11,RB,33,74,88,89,81,11586
79,J.K. Dobbins,19245,jk-dobbins,DEN,10,RB,34,75,87,85,81,6806
80,Kyle Monangai,27131,kyle-monangai,CHI,10,RB,35,65,99,105,82,12534
81,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,7,79,85,75,82,7553
82,DK Metcalf,18219,dk-metcalf,PIT,9,WR,34,80,86,78,83,5846
83,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,14,WR,35,89,81,73,85,11628
84,Chris Godwin Jr.,16406,chris-godwin,TB,10,WR,36,95,77,86,86,4037
85,Caleb Williams,23084,caleb-williams,CHI,10,QB,7,97,79,70,88,11560
86,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,7,WR,37,84,92,80,88,11631
87,Justin Herbert,18635,justin-herbert,LAC,7,QB,8,94,83,72,88.5,6797
88,Sam LaPorta,22978,sam-laporta,DET,6,TE,8,85,94,69,89.5,10859
89,Trevor Lawrence,19780,trevor-lawrence,JAC,7,QB,9,102,82,84,92,7523
90,Jordan Mason,22969,jordan-mason,MIN,6,RB,36,110,76,90,93,8408
91,Kenny Gainwell,23310,kenneth-gainwell,TB,10,RB,37,93,93,112,93,7567
92,Dak Prescott,15600,dak-prescott,DAL,14,QB,10,107,84,77,95.5,3294
93,Jaxson Dart,23160,jaxson-dart,NYG,8,QB,11,91,102,111,96.5,12508
94,Wan'Dale Robinson,22985,wandale-robinson,TEN,9,WR,38,116,78,126,97,8126
95,Jacory Croskey-Merritt,27316,jacory-croskeymerritt,WAS,7,RB,38,103,95,91,99,12533
96,Alec Pierce,23791,alec-pierce,IND,13,WR,39,101,97,88,99,8142
97,Jakobi Meyers,18598,jakobi-meyers,JAC,7,WR,40,83,119,130,101,5947
98,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,39,92,115,117,103.5,4199
99,George Kittle,16499,george-kittle,SF,8,TE,9,109,98,81,103.5,4217
100,Jordyn Tyson,26035,jordyn-tyson,NO,8,WR,41,66,145,145,105.5,13281
101,Dalton Kincaid,25247,dalton-kincaid,BUF,7,TE,10,88,123,101,105.5,10236
102,Jordan Addison,23107,jordan-addison,MIN,6,WR,42,108,108,102,108,9756
103,Isaiah Likely,23781,isaiah-likely,NYG,8,TE,11,127,91,110,109,8131
104,Quentin Johnston,23123,quentin-johnston,LAC,7,WR,43,123,96,92,109.5,9754
105,Tyler Allgeier,24172,tyler-allgeier,ARI,14,RB,40,96,124,135,110,8132
106,Travis Kelce,11594,travis-kelce,KC,5,TE,12,117,104,104,110.5,1466
107,Michael Pittman Jr.,19278,michael-pittman,PIT,9,WR,44,119,103,116,111,6819
108,Woody Marks,27520,woody-marks,HOU,8,RB,41,115,111,131,113,12474
109,Patrick Mahomes II,16413,patrick-mahomes,KC,5,QB,12,112,116,121,114,4046
110,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,13,100,129,114,114.5,5022
111,Jake Ferguson,22718,jake-ferguson,DAL,14,TE,14,105,127,138,116,8110
112,Brock Purdy,19797,brock-purdy,SF,8,QB,13,118,114,103,116,8183
113,Juwan Johnson,19562,juwan-johnson,NO,8,TE,15,113,121,140,117,7002
114,Mark Andrews,17269,mark-andrews,BAL,13,TE,16,104,132,127,118,5012
