value_basis,format,year,player_id,name,position,value,season_pts
ktc,regular,2021,4046,Patrick Mahomes,QB,9999,335.5
ktc,regular,2021,4984,Josh Allen,QB,9924,378.7
ktc,regular,2021,4034,Christian McCaffrey,RB,9608,109
ktc,regular,2021,5849,Kyler Murray,QB,8761,283.4
ktc,regular,2021,4881,Lamar Jackson,QB,7994,240
ktc,regular,2021,6797,Justin Herbert,QB,7966,353.3
ktc,regular,2021,6794,Justin Jefferson,WR,7886,256.8
ktc,regular,2021,3294,Dak Prescott,QB,7435,288.8
ktc,regular,2021,1466,Travis Kelce,TE,7380,249.4
ktc,regular,2021,4029,Dalvin Cook,RB,7347,180.6
ktc,regular,2021,3321,Tyreek Hill,WR,7330,240.3
ktc,regular,2021,4035,Alvin Kamara,RB,7321,194
ktc,regular,2021,6813,Jonathan Taylor,RB,7300,342.1
ktc,regular,2021,5846,DK Metcalf,WR,7239,198.5
ktc,regular,2021,7553,Kyle Pitts,TE,7142,173.8
ktc,regular,2021,7523,Trevor Lawrence,QB,7137,180.4
ktc,regular,2021,7528,Najee Harris,RB,7025,256.2
ktc,regular,2021,4217,George Kittle,TE,6990,192
ktc,regular,2021,5859,A.J. Brown,WR,6946,134.6
ktc,regular,2021,4981,Calvin Ridley,WR,6943,55.6
ktc,regular,2021,2133,Davante Adams,WR,6929,274.3
ktc,regular,2021,6786,CeeDee Lamb,WR,6907,187.8
ktc,regular,2021,4866,Saquon Barkley,RB,6843,121.7
ktc,regular,2021,2505,Darren Waller,TE,6821,129.3
ktc,regular,2021,6945,Antonio Gibson,RB,6789,186.5
ktc,regular,2021,2449,Stefon Diggs,WR,6733,215.4
ktc,regular,2021,1234,Russell Wilson,QB,6545,218.8
ktc,regular,2021,7591,Justin Fields,QB,6536,126.8
ktc,regular,2021,7610,Trey Lance,QB,6497,64.9
ktc,regular,2021,4988,Nick Chubb,RB,6441,198.8
ktc,regular,2021,3198,Derrick Henry,RB,6290,184.3
ktc,regular,2021,4199,Aaron Jones,RB,6260,203
ktc,regular,2021,5927,Terry McLaurin,WR,6217,163.7
ktc,regular,2021,6770,Joe Burrow,QB,6214,314.2
ktc,regular,2021,5844,T.J. Hockenson,TE,6022,145.3
ktc,regular,2021,6790,D'Andre Swift,RB,6019,165.3
ktc,regular,2021,6820,Clyde Edwards-Helaire,RB,5948,108.1
ktc,regular,2021,7538,Zach Wilson,QB,5928,142
ktc,regular,2021,4663,Austin Ekeler,RB,5923,282.4
ktc,regular,2021,1426,DeAndre Hopkins,WR,5898,126.2
ktc,regular,2021,3164,Ezekiel Elliott,RB,5770,219.1
ktc,regular,2021,7588,Javonte Williams,RB,5745,176
ktc,regular,2021,5012,Mark Andrews,TE,5572,284.6
ktc,regular,2021,4983,D.J. Moore,WR,5548,177.5
ktc,regular,2021,7564,Ja'Marr Chase,WR,5523,260.5
ktc,regular,2021,6783,Jerry Jeudy,WR,5513,62
