rank,player,position,team,tier,pos_rank,pos_tier,adp,sleeper_id
1,Jahmyr Gibbs,RB,DET,1,1,1,1.3,9221
2,Bijan Robinson,RB,ATL,1,2,1,1.7,9509
3,Ja'Marr Chase,WR,CIN,2,1,1,3,7564
4,Puka Nacua,WR,LA,2,2,1,4,9493
5,Christian McCaffrey,RB,SF,2,3,2,6,4034
6,Jaxon Smith-Njigba,WR,SEA,2,3,1,5.3,9488
7,Amon-Ra St. Brown,WR,DET,3,4,1,7.7,7547
8,Jonathan Taylor,RB,IND,3,4,2,7,6813
9,James Cook III,RB,BUF,3,5,2,11,8138
10,CeeDee Lamb,WR,DAL,4,5,2,11.3,6786
11,Chase Brown,RB,CIN,4,6,3,17.7,9224
12,Saquon Barkley,RB,PHI,4,7,3,15,4866
13,Kenneth Walker III,RB,KC,4,8,3,18.7,8151
14,Justin Jefferson,WR,MIN,4,6,2,10.3,6794
15,Derrick Henry,RB,BAL,4,9,3,22,3198
16,Omarion Hampton,RB,LAC,4,10,3,17,12507
17,De'Von Achane,RB,MIA,4,11,3,14.3,9226
18,Ashton Jeanty,RB,LV,5,12,4,12.7,12527
19,A.J. Brown,WR,NE,5,7,3,21.7,5859
20,Brock Bowers,TE,LV,5,1,1,17.3,11604
21,Drake London,WR,ATL,5,8,3,17.7,8112
22,Nico Collins,WR,HOU,5,9,3,22.3,7569
23,George Pickens,WR,DAL,6,10,4,24,8137
24,Chris Olave,WR,NO,6,11,4,27.7,8144
25,Malik Nabers,WR,NYG,6,12,4,34.3,11632
26,Trey McBride,TE,ARI,7,2,2,17.7,8130
27,Jeremiyah Love,RB,ARI,8,13,5,25.3,13287
28,Zay Flowers,WR,BAL,8,13,5,38.3,9997
29,Rashee Rice,WR,KC,8,14,5,31.7,10229
30,Javonte Williams,RB,DAL,8,14,5,33.7,7588
31,Devonta Smith,WR,PHI,8,15,5,31,7525
32,Kyren Williams,RB,LA,8,15,5,31.7,8150
33,Ladd McConkey,WR,LAC,9,16,6,44,11635
34,Breece Hall,RB,NYJ,9,16,5,32.3,8155
35,Tee Higgins,WR,CIN,10,17,6,39,6801
36,Jaylen Waddle,WR,DEN,10,18,6,55.3,7526
37,Colston Loveland,TE,CHI,10,3,3,36,12517
38,Josh Allen,QB,BUF,10,1,1,23,4984
39,Garrett Wilson,WR,NYJ,10,19,6,42.3,8146
40,Tetairoa McMillan,WR,CAR,10,20,7,41.3,12526
41,Travis Etienne Jr.,RB,NO,10,17,6,35,7543
42,D'Andre Swift,RB,CHI,10,18,6,54.7,6790
43,Emeka Egbuka,WR,TB,10,21,7,38,12514
44,Luther Burden III,WR,CHI,10,22,7,46.3,12519
45,Bucky Irving,RB,TB,11,19,7,55.3,11584
46,Davante Adams,WR,LA,11,23,8,54.3,2133
47,Cam Skattebo,RB,NYG,12,20,8,40,12481
48,Christian Watson,WR,GB,12,24,9,65.3,8167
49,Jameson Williams,WR,DET,12,25,9,54.7,8148
50,Bhayshul Tuten,RB,JAX,12,21,8,59.7,12490
51,Terry McLaurin,WR,WAS,12,26,9,53,5927
52,Mike Evans,WR,SF,12,27,9,54,2216
53,David Montgomery,RB,HOU,12,22,8,50.7,5892
54,DJ Moore,WR,BUF,13,28,9,48.7,4983
55,Quinshon Judkins,RB,CLE,13,23,8,47.3,12512
56,Parker Washington,WR,JAX,13,29,9,79.3,9487
57,Jadarian Price,RB,SEA,13,24,8,59,13286
58,Lamar Jackson,QB,BAL,13,2,2,44,4881
59,Rhamondre Stevenson,RB,NE,13,25,8,77,7611
60,Rome Odunze,WR,CHI,13,30,10,64,11620
61,Tyler Warren,TE,IND,13,4,4,51.3,12518
62,TreVeyon Henderson,RB,NE,14,26,8,54.7,12529
63,Jaylen Warren,RB,PIT,15,27,9,78.7,8228
64,Jayden Daniels,QB,WAS,15,3,3,59.3,11566
65,Drake Maye,QB,NE,15,4,4,55.3,11564
66,Joe Burrow,QB,CIN,15,5,4,50.7,6770
67,Carnell Tate,WR,TEN,15,31,11,71,13279
68,Marvin Harrison Jr.,WR,ARI,15,32,11,75,11628
69,Tucker Kraft,TE,GB,15,5,5,72.7,9484
70,Jalen Hurts,QB,PHI,15,6,4,68.7,6904
71,MarShawn Lloyd,RB,GB,15,28,10,209.7,11581
72,Jonathon Brooks,RB,CAR,15,29,10,109.7,11583
73,Rico Dowdle,RB,PIT,15,30,10,85,7021
74,Chris Godwin Jr.,WR,TB,15,33,12,92.3,4037
75,DK Metcalf,WR,PIT,15,34,12,85.7,5846
76,Brian Thomas Jr.,WR,JAX,15,35,12,69.3,11631
77,Sam LaPorta,TE,DET,16,6,6,81.7,10859
78,Quentin Johnston,WR,LAC,17,36,13,103,9754
79,Harold Fannin Jr.,TE,CLE,17,7,7,73.7,12506
80,Justin Herbert,QB,LAC,17,7,5,82.7,6797
81,Caleb Williams,QB,CHI,17,8,5,66.7,11560
82,Jayden Reed,WR,GB,17,37,13,102.3,10222
83,Tony Pollard,RB,TEN,17,31,11,80.3,5967
84,Michael Pittman Jr.,WR,PIT,17,38,13,107.3,6819
85,Josh Downs,WR,IND,17,39,13,109.7,9500
86,Stefon Diggs,WR,WAS,17,40,13,142,2449
87,Jordan Mason,RB,MIN,17,32,12,116.7,8408
88,Michael Wilson,WR,ARI,17,41,13,89,10232
89,Alec Pierce,WR,IND,17,42,13,83.7,8142
90,Blake Corum,RB,LA,17,33,12,98.3,11586
91,Jordan Addison,WR,MIN,17,43,13,105.3,9756
92,RJ Harvey,RB,DEN,17,34,12,81.3,12489
93,Courtland Sutton,WR,DEN,17,44,13,85.3,5045
94,Trevor Lawrence,QB,JAX,17,9,6,81.3,7523
95,Dak Prescott,QB,DAL,17,10,6,73.7,3294
96,Jacory Croskey-Merritt,RB,WAS,17,35,12,122.7,12533
97,J.K. Dobbins,RB,DEN,17,36,12,98.7,6806
98,Wan'Dale Robinson,WR,TEN,17,45,14,107.3,8126
99,Kyle Pitts Sr.,TE,ATL,17,8,7,79.3,7553
100,Chuba Hubbard,RB,CAR,17,37,12,73,7594
101,Makai Lemon,WR,PHI,17,46,14,93.3,13294
102,Brock Purdy,QB,SF,17,11,7,97,8183
103,Jaxson Dart,QB,NYG,17,12,7,87,12508
104,Rachaad White,RB,WAS,18,38,13,111.7,8136
105,Kenneth Gainwell,RB,TB,19,39,13,103.7,7567
106,George Kittle,TE,SF,19,9,7,96.3,4217
107,De'Zhaun Stribling,WR,SF,19,47,14,197.7,13417
108,KC Concepcion,WR,CLE,19,48,14,124.3,13298
109,Xavier Worthy,WR,KC,19,49,14,114.3,11624
110,Romeo Doubs,WR,NE,19,50,14,123.3,8121
111,Jakobi Meyers,WR,JAX,19,51,14,105,5947
112,Patrick Mahomes II,QB,KC,19,13,8,92.7,4046
113,Matthew Golden,WR,GB,19,52,14,122,12501
114,Dalton Kincaid,TE,BUF,19,10,8,108.3,10236
115,Dallas Goedert,TE,PHI,19,11,8,114.7,5022
116,Aaron Jones Sr.,RB,MIN,19,40,14,120.3,4199
117,Matthew Stafford,QB,LA,19,14,8,89,421
118,Jordan Love,QB,GB,19,15,8,116.3,6804
119,Kyle Monangai,RB,CHI,19,41,14,90.3,12534
120,Bo Nix,QB,DEN,19,16,8,102,11563
121,Travis Kelce,TE,KC,19,12,8,104.3,1466
122,Kyler Murray,QB,MIN,19,17,8,110.3,5849
123,Baker Mayfield,QB,TB,19,18,9,119.3,4892
124,Malik Willis,QB,MIA,19,19,10,131.7,8161
125,Jalen Coker,WR,CAR,19,53,15,141.3,11646
126,Isaiah Likely,TE,NYG,19,13,8,106.7,8131
127,Juwan Johnson,TE,NO,19,14,8,142.7,7002
128,Chris Rodriguez Jr.,RB,JAX,19,42,15,133,10219
129,Jonah Coleman,RB,DEN,20,43,16,152.7,13345
130,Deebo Samuel Sr.,WR,SF,20,54,15,175,5872
131,Jordyn Tyson,WR,NO,20,55,15,79.7,13281
132,Jake Ferguson,TE,DAL,20,15,8,109.3,8110
133,Khalil Shakir,WR,BUF,20,56,15,134.3,8134
134,Jared Goff,QB,DET,20,20,10,101.3,3163
135,Tyjae Spears,RB,TEN,21,44,16,157,9508
136,Rashid Shaheed,WR,SEA,21,57,15,143.3,8676
137,Tyler Shough,QB,NO,21,21,10,119.3,12545
138,Mark Andrews,TE,BAL,21,16,8,119.7,5012
139,Josh Jacobs,RB,GB,21,45,16,39.7,5850
140,Tyler Allgeier,RB,ARI,22,46,17,152,8132
141,Mike Washington Jr.,RB,LV,22,47,17,186.3,13305
142,Brenton Strange,TE,JAX,22,17,9,145.3,9480
143,Hunter Henry,TE,NE,22,18,9,146.3,3214
144,Zach Charbonnet,RB,SEA,22,48,17,150.3,9753
145,Tank Bigsby,RB,PHI,22,49,17,174,9225
146,Sam Darnold,QB,SEA,22,22,11,135.7,4943
147,Daniel Jones,QB,IND,22,23,11,147.7,5870
148,Dalton Schultz,TE,HOU,22,19,9,167,5001
149,Woody Marks,RB,HOU,22,50,17,140,12474
150,Brandon Aubrey,K,DAL,22,1,1,,11533
151,Terrance Ferguson,TE,LA,23,20,9,208.7,12487
152,Tre' Harris,WR,LAC,23,58,16,195.7,12509
153,Tre Tucker,WR,LV,23,59,16,171.3,10213
154,Emmett Johnson,RB,KC,23,51,18,184.3,13337
155,C.J. Stroud,QB,HOU,23,24,11,140.7,9758
156,Jalen McMillan,WR,TB,23,60,16,155.3,11618
157,Ryan Flournoy,WR,DAL,23,61,16,187.7,11783
158,Kayshon Boutte,WR,HOU,23,62,16,202.3,9504
159,Keenan Allen,WR,IND,23,63,16,247.5,1479
160,Keaton Mitchell,RB,LAC,23,52,18,148.3,9511
161,Pat Bryant,WR,DEN,24,64,17,235.7,12492
162,Denzel Boston,WR,CLE,24,65,17,165.7,13346
163,Dontayvion Wicks,WR,PHI,24,66,18,216,9486
164,Kimani Vidal,RB,LAC,25,53,19,210,11647
165,Chig Okonkwo,TE,WAS,25,21,9,138.7,8210
166,Cyrus Allen,WR,KC,26,67,19,280,13413
167,Kaelon Black,RB,SF,26,54,19,229,13414
168,Cameron Dicker,K,LAC,26,2,2,,8259
169,Cameron Ward,QB,TEN,26,25,11,145,12522
170,Chris Bell,WR,MIA,27,68,19,209,13311
171,Jason Myers,K,SEA,27,3,3,,2747
172,Dylan Sampson,RB,CLE,27,55,19,168.7,12469
173,Ja'Kobi Lane,WR,BAL,27,69,19,232.5,13293
174,Ray Davis,RB,BUF,27,56,19,208,11575
175,Adonai Mitchell,WR,NYJ,27,70,19,200,11625
176,Kenyon Sadiq,TE,NYJ,27,22,10,142,13330
177,Ka'imi Fairbairn,K,HOU,27,4,3,,3451
178,Jaylin Noel,WR,HOU,28,71,19,229.7,12536
179,Brian Robinson Jr.,RB,ATL,28,57,19,165,8154
180,T.J. Hockenson,TE,MIN,28,23,10,149.7,5844
181,Bryce Young,QB,CAR,28,26,11,153.3,9228
182,Omar Cooper Jr.,WR,NYJ,28,72,19,155.3,13276
183,Cade Otton,TE,TB,28,24,11,187.7,8111
184,Caleb Douglas,WR,MIA,28,73,20,234.5,13296
185,Devaughn Vele,WR,NO,28,74,20,237.5,11834
186,Germie Bernard,WR,PIT,29,75,21,205,13274
187,Jauan Jennings,WR,MIN,29,76,21,155,7049
188,Malik Washington,WR,MIA,30,77,21,188.3,11610
189,Tyrone Tracy Jr.,RB,NYG,30,58,20,131,11655
190,Jalen Nailor,WR,LV,30,78,21,156,8180
191,Zachariah Branch,WR,ATL,30,79,22,189.7,13320
192,Malachi Fields,WR,NYG,30,80,22,208.3,13285
193,Eddy Pineiro,K,SF,30,5,4,,5189
194,AJ Barner,TE,SEA,30,25,11,180.7,11603
195,Calvin Ridley,WR,TEN,30,81,22,178.7,4981
196,Oronde Gadsden II,TE,LAC,30,26,12,141.7,12493
197,Rashod Bateman,WR,BAL,30,82,22,241,7571
198,Jordan James,RB,SF,30,59,20,206.3,12467
199,Pat Freiermuth,TE,PIT,30,27,12,195,7600
200,Greg Dulcich,TE,MIA,30,28,13,188.7,8172
201,Aaron Rodgers,QB,PIT,30,27,12,169.3,96
202,Jerry Jeudy,WR,CLE,30,83,22,175,6783
203,Braelon Allen,RB,NYJ,31,60,20,195.7,11576
204,Gunnar Helm,TE,TEN,32,29,13,179.7,12502
205,Malik Davis,RB,DAL,32,61,20,254,8800
206,Antonio Williams,WR,WAS,33,84,23,172.7,13301
207,Alvin Kamara,RB,NO,33,62,20,162,4035
208,Travis Hunter,WR,JAX,33,85,23,176,
209,Demond Claiborne,RB,MIN,34,63,20,222.3,13347
210,Isaac TeSlaa,WR,DET,34,86,23,181.3,12535
211,Jacoby Brissett,QB,ARI,35,28,12,172.3,3257
212,Kaytron Allen,RB,WAS,35,64,20,193.3,13405
213,Najee Harris,RB,NYG,35,65,20,250,7528
214,Colby Parkinson,TE,LA,35,30,14,226,6865
215,Cooper Kupp,WR,SEA,35,87,23,215,4039
216,Isiah Pacheco,RB,DET,35,66,20,143.7,8205
217,Geno Smith,QB,NYJ,35,29,12,176.7,1373
218,Will Reichard,K,MIN,35,6,5,,11792
219,Evan Engram,TE,DEN,35,31,14,224,4066
220,Samaje Perine,RB,CIN,35,67,20,242.7,4147
221,Fernando Mendoza,QB,LV,35,30,13,171.3,13269
222,Kyle Williams,WR,NE,35,88,23,271,12547
223,Chris Boswell,K,PIT,35,7,5,,1945
224,Michael Mayer,TE,LV,35,32,14,250,9482
225,Tyquan Thornton,WR,KC,35,89,23,231.7,8188
226,Ted Hurst III,WR,TB,35,90,23,225.7,13317
227,Chris Brooks,RB,GB,35,68,20,238.7,11370
228,Cam Little,K,JAX,35,8,6,,11786
229,Tank Dell,WR,HOU,36,91,23,198,9502
230,Seth McGowan,RB,IND,36,69,20,324,13424
231,Nicholas Singleton,RB,TEN,36,70,21,176.3,13288
232,David Njoku,TE,LAC,37,33,14,182.3,4033
233,Justice Hill,RB,BAL,37,71,22,215,5995
234,Tyler Loop,K,BAL,37,9,6,,12711
235,Demario Douglas,WR,NE,37,92,23,294,9501
236,Sean Tucker,RB,TB,37,72,23,183.3,9506
237,Darnell Mooney,WR,NYG,37,93,24,209,7090
238,Jack Bech,WR,LV,37,94,24,245.5,12483
239,Harrison Butker,K,KC,37,10,6,,4227
240,George Holani,RB,SEA,37,73,23,233.7,12048
241,Tory Horton,WR,SEA,38,95,24,231,12497
242,Antonio Williams,RB,FA,38,74,23,172.7,7203
243,Emanuel Wilson,RB,SEA,38,75,23,198.3,11435
244,Tez Johnson,WR,TB,39,96,25,282,12485
245,James Conner,RB,ARI,39,76,23,215,4137
246,Isaiah Davis,RB,NYJ,39,77,23,310,11571
247,Troy Franklin,WR,DEN,39,97,25,214,11627
248,Jaylen Wright,RB,MIA,39,78,24,227.3,11643
249,Mike Gesicki,TE,CIN,39,34,14,227.7,4993
250,DJ Giddens,RB,IND,39,79,24,257,12471
251,Bryce Lance,WR,NO,39,98,26,288,13420
252,Kaleb Johnson,RB,GB,40,80,24,251.5,12504
253,Keon Coleman,WR,BUF,40,99,26,217.7,11637
254,Darius Slayton,WR,NYG,40,100,26,249,6149
255,Jahan Dotson,WR,ATL,40,101,26,263.5,8119
256,Eli Raridon,TE,NE,40,35,14,264,13421
257,Ollie Gordon II,RB,MIA,40,81,24,254,12495
258,Ty Johnson,RB,BUF,40,82,24,249.5,6039
259,Elic Ayomanor,WR,TEN,40,102,26,270,12499
260,Michael Penix Jr.,QB,ATL,40,31,13,223.7,11559
261,Skyler Bell,WR,BUF,40,103,26,241,13402
262,Chase McLaughlin,K,TB,40,11,7,,6650
