rank,name,sleeper_id
1,Ja'Marr Chase,7564
2,Puka Nacua,9493
3,Jaxon Smith-Njigba,9488
4,Bijan Robinson,9509
5,Josh Allen,4984
6,CeeDee Lamb,6786
7,Jahmyr Gibbs,9221
8,Justin Jefferson,6794
9,Amon-Ra St. Brown,7547
10,Drake Maye,11564
11,Malik Nabers,11632
12,Trey McBride,8130
13,Jayden Daniels,11566
14,Drake London,8112
15,Brock Bowers,11604
16,Nico Collins,7569
17,Joe Burrow,6770
18,Ashton Jeanty,12527
19,Tetairoa McMillan,12526
20,Omarion Hampton,12507
21,De'Von Achane,9226
22,Lamar Jackson,4881
23,Jonathan Taylor,6813
24,George Pickens,8137
25,Jalen Hurts,6904
26,James Cook,8138
27,Rashee Rice,10229
28,Garrett Wilson,8146
29,Chris Olave,8144
30,Jaxson Dart,12508
31,Patrick Mahomes,4046
32,Emeka Egbuka,12514
33,TreVeyon Henderson,12529
34,Tee Higgins,6801
35,Justin Herbert,6797
36,Jameson Williams,8148
37,Ladd McConkey,11635
38,Bucky Irving,11584
39,Breece Hall,8155
40,Caleb Williams,11560
41,Trevor Lawrence,7523
42,Rome Odunze,11620
43,Chase Brown,9224
44,Brock Purdy,8183
45,Marvin Harrison Jr.,11628
46,A.J. Brown,5859
47,Luther Burden III,12519
48,Brian Thomas Jr.,11631
49,Bo Nix,11563
50,Colston Loveland,12517
51,Christian McCaffrey,4034
52,Jaylen Waddle,7526
53,Zay Flowers,9997
54,Quinshon Judkins,12512
55,DeVonta Smith,7525
56,Josh Jacobs,5850
57,Jordan Love,6804
58,Christian Watson,8167
59,Dak Prescott,3294
60,Saquon Barkley,4866
61,Tyler Warren,12518
62,Kenneth Walker III,8151
63,RJ Harvey,12489
64,Harold Fannin Jr.,12506
65,Cam Skattebo,12481
66,Kyren Williams,8150
67,Tucker Kraft,9484
68,Sam Darnold,4943
69,Ricky Pearsall,11638
70,DK Metcalf,5846
71,Travis Etienne Jr.,7543
72,Michael Wilson,10232
73,Baker Mayfield,4892
74,Sam LaPorta,10859
75,Courtland Sutton,5045
76,Travis Hunter,12530
77,Javonte Williams,7588
78,Jordan Addison,9756
79,Kyle Pitts Sr.,7553
80,Derrick Henry,3198
81,Tyler Shough,12545
82,Quentin Johnston,9754
83,Jared Goff,3163
84,D'Andre Swift,6790
85,Wan'Dale Robinson,8126
86,Michael Pittman Jr.,6819
87,Terry McLaurin,5927
88,Jakobi Meyers,5947
89,Davante Adams,2133
90,Kyler Murray,5849
91,Dalton Kincaid,10236
92,Alec Pierce,8142
93,Jaylen Warren,8228
94,C.J. Stroud,9758
95,Jauan Jennings,7049
96,Cameron Ward,12522
97,Oronde Gadsden,12493
98,Jayden Higgins,12484
99,Kyle Monangai,12534
100,Khalil Shakir,8134
101,DJ Moore,4983
102,Jake Ferguson,8110
103,Woody Marks,12474
104,Xavier Worthy,11624
105,Parker Washington,9487
106,Brenton Strange,9480
107,Mike Evans,2216
108,Trey Benson,11589
109,Blake Corum,11586
110,George Kittle,4217
111,Matthew Golden,12501
112,Rhamondre Stevenson,7611
113,Daniel Jones,5870
114,Bhayshul Tuten,12490
115,J.J. McCarthy,11565
116,Jayden Reed,10222
117,Michael Penix Jr.,11559
118,Matthew Stafford,421
119,Theo Johnson,11597
120,Rico Dowdle,7021
121,Zach Charbonnet,9753
122,Bryce Young,9228
123,Stefon Diggs,2449
124,Chris Godwin Jr.,4037
125,Chuba Hubbard,7594
126,Josh Downs,9500
127,Pat Bryant,12492
128,David Montgomery,5892
129,Jalen Coker,11646
130,Troy Franklin,11627
131,Tre' Harris,12509
132,Brandon Aiyuk,6803
133,Mark Andrews,5012
134,J.K. Dobbins,6806
135,Kayshon Boutte,9504
136,Deebo Samuel Sr.,5872
137,Kenneth Gainwell,7567
138,Terrance Ferguson,12487
139,Juwan Johnson,7002
140,Romeo Doubs,8121
141,Mason Taylor,12498
142,Tyreek Hill,3321
143,Tyrone Tracy Jr.,11655
144,Jalen McMillan,11618
145,Isaac TeSlaa,12535
146,Tony Pollard,5967
147,Tyler Allgeier,8132
148,Dallas Goedert,5022
149,Chimere Dike,12540
150,Tua Tagovailoa,6768
151,T.J. Hockenson,5844
152,Shedeur Sanders,12524
153,Rashid Shaheed,8676
154,Jacory Croskey-Merritt,12533
155,Alvin Kamara,4035
156,Hunter Henry,3214
157,Elic Ayomanor,12499
158,Jordan Mason,8408
159,James Conner,4137
160,Kimani Vidal,11647
161,Tyjae Spears,9508
162,Anthony Richardson Sr.,9229
163,Kyle Williams,12547
164,Jaylin Noel,12536
165,Jerry Jeudy,6783
166,Keon Coleman,11637
167,Isaiah Likely,8131
168,Tory Horton,12497
169,David Njoku,4033
170,Jonathon Brooks,11583
171,Malik Willis,8161
172,Braelon Allen,11576
173,Aaron Jones Sr.,4199
174,AJ Barner,11603
175,Gunnar Helm,12502
176,Dalton Schultz,5001
177,Kaleb Johnson,12504
178,Travis Kelce,1466
179,Adonai Mitchell,11625
180,Tank Bigsby,9225
181,Dylan Sampson,12469
182,Tank Dell,9502
183,Brian Robinson Jr.,8154
184,Elijah Arroyo,12521
185,Isiah Pacheco,8205
186,Rachaad White,8136
187,Sean Tucker,9506
188,Colby Parkinson,6865
189,Christian Kirk,4950
190,Darnell Mooney,7090
191,Dontayvion Wicks,9486
192,Devin Neal,12476
193,Calvin Ridley,4981
194,Chig Okonkwo,8210
195,Tre Tucker,10213
196,Cade Otton,8111
197,Marvin Mims Jr.,9494
198,Justin Fields,7591
199,Ray Davis,11575
200,Jacoby Brissett,3257
201,Cooper Kupp,4039
202,Pat Freiermuth,7600
203,Ollie Gordon II,12495
204,Jake Tonges,8698
205,Joe Mixon,4018
206,Keaton Mitchell,9511
207,Darius Slayton,6149
208,Tez Johnson,12485
209,Jack Bech,12483
210,Xavier Legette,11626
211,Rashod Bateman,7571
212,Jaylen Wright,11643
213,Isaiah Davis,11571
214,Ben Sinnott,11596
215,Marquise Brown,5848
216,Devaughn Vele,11834
217,Kendre Miller,9757
218,Emanuel Wilson,11435
219,Brashard Smith,12455
220,Chris Rodriguez Jr.,10219
221,Evan Engram,4066
222,Keenan Allen,1479
223,Joshua Palmer,7670
224,Malik Washington,11610
225,Cedric Tillman,10444
226,Jaydon Blue,12457
227,Darren Waller,2505
228,Michael Mayer,9482
229,Isaiah Bond,12503
230,Jalen Milroe,12510
231,Jarquez Hunter,11569
232,Ryan Flournoy,11783
233,Geno Smith,1373
234,Ja'Tavion Sanders,11600
235,Aaron Rodgers,96
236,Kirk Cousins,1166
237,Bam Knight,8122
238,Andrei Iosivas,10226
239,Dont'e Thornton Jr.,12541
240,Mac Jones,7527
241,Darnell Washington,9479
242,John Metchie III,8147
243,Mike Gesicki,4993
244,Isaac Guerendo,11651
245,Audric Estimé,11579
246,Najee Harris,7528
247,Calvin Austin III,8125
248,Joe Flacco,19
249,Tyquan Thornton,8188
250,DeMario Douglas,9501
251,Will Howard,12511
252,Michael Carter,7607
253,Roman Wilson,11630
254,Jameis Winston,2306
255,Quinn Ewers,12500
256,Jonnu Smith,4144
257,Will Shipley,11577
258,Cole Kmet,6826
259,Noah Gray,7828
260,Kareem Hunt,4098
261,Jalen Nailor,8180
262,LeQuint Allen Jr.,12544
263,Phil Mafah,12738
264,Mack Hollins,4177
265,DJ Giddens,12471
266,Keandre Lambert-Smith,12670
267,Davis Mills,7585
268,Marcus Mariota,2307
269,Savion Williams,12482
270,Jimmy Horn Jr.,12523
271,Jalen Royals,12505
272,Devin Singletary,6130
273,Dawson Knox,5906
274,Greg Dulcich,8172
275,Samaje Perine,4147
276,Luke McCaffrey,11650
277,Deshaun Watson,4017
278,Jaylin Lane,12641
279,Ty Johnson,6039
280,Kendrick Bourne,4454
281,Zach Ertz,1339
282,Raheim Sanders,12472
283,Tanner McKee,9230
284,Nick Chubb,4988
285,Spencer Rattler,11562
286,Jordan James,12467
287,Malik Davis,8800
288,Tahj Brooks,12543
289,Jordan Whittington,11623
290,Tyler Higbee,3271
291,Riley Leonard,12470
292,Tai Felton,12496
293,Cade Stover,11599
294,MarShawn Lloyd,11581
295,Trevor Etienne,12531
296,Emari Demercado,11199
297,Xavier Hutchinson,10218
298,DeAndre Hopkins,1426
299,Luke Musgrave,9481
300,Joe Milton III,11557
301,Jerome Ford,8143
302,Justice Hill,5995
303,Jaleel McLaughlin,11439
304,Tutu Atwell,7562
305,Noah Fant,5857
306,Demarcus Robinson,3286
307,Konata Mumpfield,12718
308,Miles Sanders,6151
309,Jalen Tolbert,8117
310,Mason Rudolph,4972
311,Russell Wilson,1234
312,Jawhar Jordan,11588
313,Roschon Johnson,10235
314,Trey Lance,7610
315,Erick All Jr.,11592
316,Olamide Zaccheaus,6271
317,Tommy Tremble,7694
318,Will Levis,9999
319,Brandin Cooks,2197
320,Jahan Dotson,8119
321,Chris Brooks,11370
322,Greg Dortch,5970
323,Gardner Minshew,6011
324,Dyami Brown,7587
325,Treylon Burks,8135
326,Jarrett Stidham,6136
327,Tyrell Shavers,11377
328,Xavier Restrepo,12520
329,Noah Brown,4234
330,Elijah Moore,7596
331,Rasheen Ali,11570
332,Devontez Walker,11629
333,Austin Ekeler,4663
334,Tyler Lockett,2374
335,Jeremy McNichols,4219
336,Theo Wease Jr.,12860
337,KaVontae Turpin,8917
338,Tyrod Taylor,827
339,Dameon Pierce,8129
340,Aidan O'Connell,10866
341,Kevin Austin Jr.,8200
342,Gabe Davis,6943
343,Nick Westbrook-Ikhine,7496
344,Jimmy Garoppolo,1837
345,Jared Wiley,11595
346,Ja'Lynn Polk,11619
347,Dillon Gabriel,12486
348,Jordan Watkins,12634
349,Efton Chism III,12542
350,Curtis Samuel,4082
351,Jahdae Walker,13079
352,Austin Hooper,3202
353,Taysom Hill,4381
354,Darius Cooper,13150
355,Carson Wentz,3161
356,Josh Oliver,5973
357,Mitchell Evans,12473
358,Tyler Badie,8208
359,Raheem Mostert,2749
360,Sterling Shepard,3200
361,Antonio Gibson,6945
362,Will Dissly,5010
363,Zach Wilson,7538
364,Malachi Corley,11617
365,Davis Allen,10214
366,Khalil Herbert,7608
367,Isaiah Hodgins,6920
368,JuJu Smith-Schuster,4040
369,Mitchell Trubisky,3976
370,Isaiah Williams,11608
371,Jermaine Burton,11640
372,Jake Browning,6111
373,Elijah Higgins,10231
374,Alexander Mattison,5987
375,Daniel Bellinger,8225
376,Jalin Hyatt,9497
377,Zamir White,8139
378,Tyler Conklin,5133
379,Kenny Pickett,8160
380,Thomas Fidone II,12715
381,Jeremy Ruckert,8145
382,George Holani,12048
383,Arian Smith,12539
384,Brock Wright,7891
385,Joshua Dobbs,4179
386,Mitchell Tinsley,11068
387,Andy Dalton,829
388,Tyson Bagent,11256
389,Sam Howell,8162
