rank,name,team,position,tier,sleeper_id
1,Josh Allen,BUF,QB,1,4984
2,Lamar Jackson,BAL,QB,1,4881
3,Drake Maye,NE,QB,1,11564
4,Joe Burrow,CIN,QB,2,6770
5,Jayden Daniels,WAS,QB,2,11566
6,Jalen Hurts,PHI,QB,2,6904
7,Caleb Williams,CHI,QB,2,11560
8,Justin Herbert,LAC,QB,2,6797
9,Trevor Lawrence,JAC,QB,2,7523
10,Dak Prescott,DAL,QB,3,3294
11,Brock Purdy,SF,QB,3,8183
12,Bo Nix,DEN,QB,3,11563
13,Jaxson Dart,NYG,QB,3,12508
14,Patrick Mahomes II,KC,QB,3,4046
15,Matthew Stafford,LAR,QB,3,421
16,Jared Goff,DET,QB,3,3163
17,Kyler Murray,MIN,QB,4,5849
18,Baker Mayfield,TB,QB,4,4892
19,Jordan Love,GB,QB,4,6804
20,Tyler Shough,NO,QB,4,12545
21,Malik Willis,MIA,QB,4,8161
22,Sam Darnold,SEA,QB,4,4943
23,C.J. Stroud,HOU,QB,4,9758
24,Daniel Jones,IND,QB,4,5870
25,Cam Ward,TEN,QB,4,12522
26,Bryce Young,CAR,QB,4,9228
27,Jacoby Brissett,ARI,QB,4,3257
28,Geno Smith,NYJ,QB,4,1373
29,Aaron Rodgers,PIT,QB,4,96
30,Fernando Mendoza,LV,QB,5,13269
31,Tua Tagovailoa,ATL,QB,5,6768
32,Michael Penix Jr.,ATL,QB,5,11559
33,Kirk Cousins,LV,QB,5,1166
34,Shedeur Sanders,CLE,QB,5,12524
35,Deshaun Watson,CLE,QB,5,4017
36,J.J. McCarthy,MIN,QB,6,11565
37,Carson Beck,ARI,QB,6,13272
38,Mac Jones,SF,QB,6,7527
39,Justin Fields,KC,QB,6,7591
40,Ty Simpson,LAR,QB,6,13275
41,Joe Flacco,CIN,QB,6,19
42,Anthony Richardson Sr.,IND,QB,6,9229
43,Marcus Mariota,WAS,QB,6,2307
44,Jameis Winston,NYG,QB,6,2306
45,Cade Klubnik,NYJ,QB,6,13303
46,Joe Milton III,DAL,QB,6,11557
47,Quinn Ewers,MIA,QB,6,12500
48,Gardner Minshew II,ARI,QB,7,6011
49,Riley Leonard,IND,QB,7,12470
50,Davis Mills,HOU,QB,7,7585
51,Tyrod Taylor,GB,QB,7,827
52,Jalen Milroe,SEA,QB,7,12510
53,Spencer Rattler,NO,QB,7,11562
54,Tyler Huntley,BAL,QB,7,7083
55,Trey Lance,LAC,QB,7,7610
56,Tyson Bagent,CHI,QB,7,11256
57,Jarrett Stidham,DEN,QB,7,6136
58,Drew Allar,PIT,QB,7,13289
59,Will Levis,TEN,QB,7,9999
60,Jake Browning,TB,QB,7,6111
61,Tommy DeVito,NE,QB,7,11292
62,Taylen Green,CLE,QB,7,13306
63,Kenny Pickett,CAR,QB,7,8160
64,Mason Rudolph,PIT,QB,7,4972
65,Kyle Allen,BUF,QB,7,5127
66,Sam Howell,DAL,QB,7,8162
67,Tanner McKee,PHI,QB,7,9230
68,Drew Lock,SEA,QB,8,5854
69,Mitchell Trubisky,TEN,QB,8,3976
70,Will Howard,PIT,QB,8,12511
71,Andy Dalton,PHI,QB,8,829
72,Dillon Gabriel,CLE,QB,8,12486
73,Jimmy Garoppolo,LAR,QB,8,1837
74,Carson Wentz,MIN,QB,8,3161
75,Nick Mullens,JAC,QB,8,4464
76,Garrett Nussmeier,KC,QB,8,13404
77,Aidan O'Connell,LV,QB,8,10866
78,Joshua Dobbs,DET,QB,8,4179
79,Cooper Rush,ATL,QB,8,4574
80,Zach Wilson,NO,QB,8,7538
81,Brady Cook,NYJ,QB,8,12538
82,Haynes King,CAR,QB,8,13415
83,Josh Johnson,CIN,QB,8,260
84,Hendon Hooker,TEN,QB,8,9998
85,Sam Ehlinger,DEN,QB,8,7583
86,Kurtis Rourke,SF,QB,8,12477
87,Behren Morton,NE,QB,8,13295
88,Brandon Allen,NYG,QB,9,3357
89,Luke Altmyer,DET,QB,9,13314
90,Athan Kaliakmanis,WAS,QB,9,13557
91,Kyle McCord,GB,QB,9,12494
92,Sam Hartman,WAS,QB,9,11558
93,Case Keenum,CHI,QB,9,1737
94,Stetson Bennett IV,LAR,QB,9,10857
95,DJ Uiagalelei,LAC,QB,9,12773
96,Shane Buechele,BUF,QB,9,8002
97,Adrian Martinez,SF,QB,9,11065
98,Cam Miller,MIA,QB,9,12688
99,Cole Payton,PHI,QB,9,13335
100,Skylar Thompson,BAL,QB,9,8206
101,Max Brosmer,MIN,QB,9,12775
102,Joe Fagnano,BAL,QB,9,13350
103,Bailey Zappe,NYJ,QB,9,8157
